IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HRN,15.6,77,108.73,74.45,Hornsund,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%,100%,100%,100%,99%,99%,100%,100%,99%,100%,99%
ALT,22.96,69.86,106.03,67,Alta,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KEV,27.01,69.76,109.16,66.73,Kevo,78%,93%,96%,96%,97%,100%,99%,100%,100%,92%,100%,75%,98%,100%,95%,100%,100%,99%,89%,97%
MAS,23.7,69.46,106.31,66.56,Masi,99%,93%,93%,89%,97%,93%,43%,75%,48%,92%,95%,78%,66%,81%,98%,100%,98%,85%,95%,98%
KIL,20.77,69.06,103.7,66.29,Kilpisjarvi,97%,98%,100%,100%,90%,94%,74%,99%,100%,90%,83%,85%,94%,96%,98%,100%,96%,91%,98%,97%
KAU,23.05,69.02,105.47,66.15,Kautokeino,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IVA,27.29,68.56,108.55,65.51,Ivalo,0%,86%,100%,98%,82%,100%,77%,100%,96%,97%,100%,98%,93%,95%,99%,91%,96%,98%,100%,99%
ABK,18.82,68.35,101.65,65.66,Abisko,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LEK,13.54,68.13,97.35,65.72,Leknes,100%,97%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MUO,23.53,68.02,105.17,65.11,Muonio,86%,78%,89%,76%,81%,100%,89%,95%,87%,100%,98%,87%,100%,98%,91%,0%,92%,99%,95%,99%
LOZ,35.02,67.97,114.52,64.69,Lovozero,89%,97%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,100%,100%,96%,100%,82%,100%,99%
KIR,20.42,67.84,102.56,65.06,Kiruna,100%,95%,50%,100%,98%,99%,100%,50%,98%,100%,99%,99%,100%,0%,0%,0%,0%,0%,0%,0%
SOD,26.63,67.37,107.26,64.33,Sodankyla,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,97%,100%,99%,100%
PEL,24.08,66.9,104.9,63.94,Pello,94%,96%,96%,87%,74%,95%,100%,83%,100%,84%,100%,100%,92%,100%,95%,94%,98%,97%,81%,95%
LYC,18.75,64.61,99.27,61.79,Lycksele,100%,75%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,99%
OUJ,27.23,64.52,106.2,61.39,Oulujarvi,100%,100%,96%,97%,92%,91%,99%,100%,99%,98%,96%,100%,100%,99%,99%,100%,89%,93%,95%,96%
HAN,26.6,62.25,104.64,59.05,Hankasalmi,99%,100%,99%,100%,100%,71%,86%,99%,92%,84%,81%,93%,92%,90%,92%,0%,88%,97%,100%,95%
NUR,24.65,60.5,102.27,57.25,Nurmijarvi,100%,100%,100%,100%,100%,99%,99%,100%,100%,100%,100%,100%,98%,100%,99%,100%,99%,98%,92%,89%
UPS,17.35,59.9,95.88,56.82,Uppsala,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TAR,26.46,58.26,103.03,54.82,Tartu,0%,25%,100%,100%,100%,89%,98%,94%,100%,100%,84%,86%,99%,100%,98%,100%,100%,98%,94%,93%
BRW,203.38,71.32,-106.78,70.55,Barrow,100%,99%,99%,100%,100%,97%,96%,100%,100%,100%,100%,99%,100%,99%,100%,100%,100%,99%,97%,100%
KAV,216.35,70.14,-95.01,71.43,Kaktovik,36%,64%,85%,98%,52%,46%,73%,85%,63%,77%,51%,70%,64%,65%,40%,53%,0%,0%,0%,0%
KOT,197.4,66.88,-107.41,65.09,Kotzebue,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ARC,214.44,68.12,-94.66,69.09,Arctic Village,27%,71%,98%,91%,90%,33%,83%,61%,17%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
INK,226.23,68.41,-84.02,71.51,Inuvik,0%,0%,0%,0%,0%,0%,18%,84%,86%,72%,95%,91%,89%,75%,65%,17%,79%,49%,30%,0%
BET,208.45,66.9,-98.69,66.83,Bettles,60%,32%,96%,100%,96%,85%,79%,82%,99%,53%,9%,25%,0%,0%,0%,0%,0%,0%,0%,0%
FYU,214.78,66.56,-93.05,67.58,Fort Yukon,60%,91%,89%,97%,89%,62%,54%,84%,93%,85%,41%,67%,96%,78%,35%,62%,11%,41%,92%,38%
EAG,218.84,64.78,-88.07,66.53,Eagle,77%,87%,89%,87%,93%,90%,72%,88%,97%,31%,67%,39%,0%,15%,100%,70%,0%,0%,0%,92%
CMO,212.14,64.87,-94.1,65.38,College,100%,99%,100%,100%,100%,99%,100%,98%,100%,100%,99%,100%,100%,100%,100%,99%,100%,100%,100%,97%
CGO,212.14,64.87,-94.1,65.38,College Intl Geophys Observatory,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
GAK,214.87,62.39,-90.14,63.34,Gakona,51%,66%,76%,73%,81%,77%,75%,49%,51%,71%,86%,30%,89%,40%,0%,0%,0%,9%,60%,0%
TLK,209.9,63.3,-95.01,63.36,Talkeetna,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CPY,235.3,70.2,-76.35,74.86,Cape Perry,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PKR,212.57,65.12,-93.9,65.72,Poker Flat,63%,75%,73%,88%,56%,62%,61%,37%,77%,58%,0%,81%,78%,56%,19%,71%,39%,50%,61%,39%
DIK,80.7,73.53,156.63,69.24,Dixon,98%,45%,0%,0%,1%,87%,21%,0%,0%,1%,64%,85%,95%,97%,95%,79%,74%,92%,63%,69%
CCS,104.28,77.72,176.45,72.67,Chelyuskin,81%,0%,30%,89%,88%,79%,88%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TIK,128.92,71.59,-161.53,66.6,Tixie,65%,83%,88%,98%,99%,94%,90%,89%,85%,100%,43%,90%,99%,100%,87%,97%,96%,99%,99%,99%
CWE,190.17,66.17,-112.37,63.38,Wellen,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
